"","week_no","Month","year_month","tot_gmv","tot_units","tot_product_mrp","total_orders","avg_cod","avg_prepaid","avg_early_del","avg_ontime_del","avg_delay_del","Year","Total.Investment","TV","Digital","Sponsorship","Content.Marketing","Online.marketing","X.Affiliates","SEM","Radio","Other","Holiday_week.x","NPS","avg_gmv","avg_mrp","avg_no_orders","avg_discount","avg_items","avg_order_value","value_visit","gmv_growth_lag1","gmv_growth_lag2","gmv_growth_lead1","gmv_growth_lead2","Holiday_week.y"
"26",26,12,"2015-12",21480093.2500257,15063,42250322,14261,11388,3240,12098,1110,1420,2015,26.68,1.35,0.78,14.18,0.28,5.62,1.7,2.8,0,0,1,45.8,1468.4231097912,2888.31843040744,14628,47.3012485702717,1.02573452072085,1472.34179580855,1591.00016665623,-6.52051766617097,-1.68575710450975,-10.5505747634849,-17.4038160091064,1
"27",27,1,"2016-1",6502280,5127,12768917,4915,4059,966,4318,245,462,2016,14.84,0.88,0.1,0.84,0.18,4.58,1.48,0.84,0.54,5.42,1,47.1,1313.49603174839,2636.18221855216,10899,42.7447482642777,1.0225161835069,1318.3005363254,1418.10730559938,11.7950168327945,4.50540301031336,-7.66158220413461,-3.65300238014231,1
"28",28,1,"2016-1",16037667,13490,36334890,12989,10987,2236,10104,1112,2007,2016,14.84,0.88,0.1,0.84,0.18,4.58,1.48,0.84,0.54,5.42,0,47.1,1212.86145352794,2747.85525221205,13223,46.5412527875895,1.01801524366772,1217.14775322709,1297.86088856519,8.297285557862,21.0709686188714,4.34118313880379,10.8600344162826,0
"29",29,1,"2016-1",12980377,10450,27165125,10044,8289,1968,8561,622,1074,2016,14.84,0.88,0.1,0.84,0.18,4.58,1.48,0.84,0.54,5.42,0,47.1,1265.51399044555,2648.4474017744,10257,43.9231507853539,1.02120669056153,1270.17141245188,1354.09732943876,-4.16056537621273,3.79150619156336,6.24763020830124,10.3949898850084,0
"30",30,1,"2016-1",18403247.6376773,14087,37469358.7563805,13359,10579,3108,11161,1044,1482,2016,14.84,0.88,0.1,0.84,0.18,4.58,1.48,0.84,0.54,5.42,1,47.1,1344.5786248029,2737.58740091916,13687,44.4515608516708,1.02455273598323,1340.29425127788,1444.97861476738,-5.88025370170855,-9.79616727837453,3.90348440579443,-9.09924040982727,1
"31",31,1,"2016-1",13252549.5,9673,23700990,9293,7636,1850,8062,548,876,2016,14.84,0.88,0.1,0.84,0.18,4.58,1.48,0.84,0.54,5.42,0,47.1,1397.06404174573,2498.52308665402,9486,41.3973081862635,1.02076832024104,1399.85915922379,1494.2552147931,-3.75683686463237,-9.41617902754122,-12.5142336563417,-10.375770306426,0
"32",32,2,"2016-2",16028352.8509168,13399,30931992,12879,10643,2471,10846,807,1461,2016,12.03,0.65,0.48,2.92,0.15,4.97,1.62,1.23,0,0,1,50.3,1222.23218323294,2358.70001525088,13114,45.998066685473,1.01824675828869,1225.43618300464,1305.13417888745,14.3043082084733,10.0100818198344,2.44435573841292,-5.85710171631744,1
"33",33,2,"2016-2",13147132.8002755,10759,24997943,10269,8413,2087,8820,626,1054,2016,12.03,0.65,0.48,2.92,0.15,4.97,1.62,1.23,0,0,1,50.3,1252.10788574052,2380.75647619048,10500,43.6316921877893,1.02249488752556,1251.62401891864,1338.13056491354,-2.38603261330909,11.5769701362018,-8.10338197248051,-14.5206519929931,1
"34",34,2,"2016-2",17952360.1860042,16016,36969220.3253997,15223,12474,3128,12740,1089,1773,2016,12.03,0.65,0.48,2.92,0.15,4.97,1.62,1.23,0,0,1,50.3,1150.64480105142,2369.51803136776,15602,46.4886367103204,1.02489653813309,1150.59115905179,1247.03807905003,8.81793274487409,6.22150138045264,-6.98314057497831,-5.01461913674519,1
"35",35,2,"2016-2",14393309.1003489,13694,27737597,13191,10992,2456,11791,626,1031,2016,12.03,0.65,0.48,2.92,0.15,4.97,1.62,1.23,0,0,0,50.3,1070.29365707532,2062.58157346817,13448,47.6650689373743,1.01948298082026,1071.21684737186,1147.06001756048,7.50739233526502,16.9873218871566,2.11630606580509,25.2286694591195,0
"36",36,3,"2016-3",12082005.2547397,11150,20858870.0045742,10669,8745,2173,9433,562,923,2016,20,1.86,0.42,8.32,0.08,3.68,1.24,1.04,0.18,3.18,0,49,1092.94434666193,1902.88268587155,12735,44.4938937680512,1.02198860444587,1089.25386577372,1171.40601369632,-2.07244674953412,5.27935887730392,22.6333719694292,11.5426575528176,0
"37",37,3,"2016-3",19970686.1403055,15260,35973243.5701492,14515,11039,3861,12182,946,1772,2016,20,1.86,0.42,8.32,0.08,3.68,1.24,1.04,0.18,3.18,1,49,1340.31450606077,2414.3116490033,14900,45.7379364781083,1.02652428522218,1335.28901016648,1454.95309196456,-18.4561278923908,-20.1460812193292,-9.04379797970193,-13.7269773850215,1
"38",38,3,"2016-3",12701794.2505629,10650,22476775,10188,8227,2192,8735,586,1098,2016,20,1.86,0.42,8.32,0.08,3.68,1.24,1.04,0.18,3.18,0,49,1219.09916984,2157.28716767444,10419,44.3458407442607,1.02267373380448,1218.12648382701,1312.57561750159,9.94302508110847,-10.3482002366242,-5.14882910818376,-2.4075039166331,0
"39",39,3,"2016-3",11684713.0021337,10325,20061198,9822,6944,3161,8101,622,1382,2016,20,1.86,0.42,8.32,0.08,3.68,1.24,1.04,0.18,3.18,0,49,1156.32983692565,1985.27441860465,10105,42.8926435699524,1.02881286906944,1163.94103734477,1246.10355146994,5.42832424710532,15.9110889695874,2.89013321161561,5.03131782052715,0
"40",40,3,"2016-3",7320615,5927,12213893,5654,3342,2451,4138,340,1315,2016,20,1.86,0.42,8.32,0.08,3.68,1.24,1.04,0.18,3.18,0,49,1189.74930957846,2028.8425065907,10856,43.6805926388138,1.02939503129149,1192.98491115992,1288.11394283272,-2.8089507918815,2.46689449829886,2.08103978688388,-0.212837789693416,0
"41",41,4,"2016-4",13054751.5018397,10963,22960541.0005343,10425,541,10208,2012,255,8482,2016,14.2,1.3,0.22,6.08,0,4.12,1.43,1.05,0,0,0,51.8,1214.50846607496,2136.06298265274,10749,45.0254780891074,1.03107913669065,1213.42864124857,1304.82273881457,-2.0386153895263,-4.79030247828028,-2.2471142352843,0.817140078871057,0
"42",42,4,"2016-4",10555547,9102,18437123,8624,336,8555,1320,243,7328,2016,14.2,1.3,0.22,6.08,0,4.12,1.43,1.05,0,0,0,51.8,1187.21707344506,2073.68383758857,8891,45.7194166600307,1.03096011131725,1189.10225340136,1273.74767708459,2.29877022832138,0.213291755150677,3.13469448004921,-1.78735383402074,0
"43",43,4,"2016-4",6395212,5382,11338068,5102,305,4918,533,155,4535,2016,14.2,1.3,0.22,6.08,0,4.12,1.43,1.05,0,0,0,51.8,1224.43270151254,2170.79609419874,5223,46.1776518471699,1.02371618972952,1220.54921272704,1300.10408619638,-3.03941801141962,-0.810517019458986,-4.77244669108134,-6.3841716029659,0
"44",44,4,"2016-4",19772808,17390,35926735,16245,6958,10076,4175,357,12502,2016,14.2,1.3,0.22,6.08,0,4.12,1.43,1.05,0,0,0,51.8,1165.99730356469,2116.89305937551,18543,47.3821754818286,1.04768630996101,1171.62348437765,1302.47518072289,5.01162376355454,1.81988155680086,-1.6924985005717,-5.46254268248989,0
"45",45,5,"2016-5",13437639,11937,25056171,11466,9426,2297,2202,256,9265,2016,15.62,0.28,0.16,6.34,0.16,4.74,1.36,1.38,0.22,1,0,47.3,1146.26281668515,2137.35144587563,11723,49.1259407805826,1.02241409384267,1145.34823826967,1231.56805059115,1.72163718409784,6.81954292589281,-3.83495066441101,2.87692595066732,0
"46",46,5,"2016-5",13584797,12593,25358886,12058,9908,2416,2212,252,9860,2016,15.62,0.28,0.16,6.34,0.16,4.74,1.36,1.38,0.22,1,0,47.3,1102.30420318079,2057.68305744888,12324,49.5223218575265,1.0220600431249,1097.15660419086,1174.64738434933,3.98788405029369,5.77817812906009,6.97953847208643,16.4653383474653,0
"47",47,5,"2016-5",13668570.250264,11877,24523714,11324,9327,2264,2038,232,9321,2016,15.62,0.28,0.16,6.34,0.16,4.74,1.36,1.38,0.22,1,0,47.3,1179.23994912121,2115.7548097662,11591,48.4167301667322,1.02357824090427,1179.40205612834,1269.13372797252,-6.52418076556533,-2.79647347943395,8.86692914444938,-3.53486964600345,0
"48",48,5,"2016-5",18000192.3266566,14299,32286303,13658,10763,3258,2307,304,11410,2016,15.62,0.28,0.16,6.34,0.16,4.74,1.36,1.38,0.22,1,1,47.3,1283.80231985283,2302.71043434848,14021,48.4065844345409,1.02657782984332,1278.75853663225,1379.11372407727,-8.14474075289141,-14.1375439088514,-11.3917044302752,-12.7102449132802,1
"49",49,5,"2016-5",3643333.66666667,3264,6429680,3140,2572,629,487,51,2663,2016,15.62,0.28,0.16,6.34,0.16,4.74,1.36,1.38,0.22,1,0,47.3,1137.55535410618,2011.07192228145,11443,47.0330972022411,1.0263700780339,1135.12343262807,1221.79894096462,12.8562504865148,3.66440146095443,-1.48805535026615,8.1371403478318,0
"50",50,6,"2016-6",12651889,11607,22458785,11002,9112,2178,2019,230,9041,2016,10.7,0.42,0.35,6.25,0,2,0.7,0.92,0,0,0,50.5,1120.62790079717,1989.26350752879,11290,47.4210481414373,1.0261770587166,1121.01349451615,1196.05681603328,1.51053291614234,14.5609812980377,9.77058744736083,18.8926614447786,0
"51",51,6,"2016-6",12431591,10397,21210315,9845,8026,2080,1828,198,8080,2016,10.7,0.42,0.35,6.25,0,2,0.7,0.92,0,0,0,50.5,1230.11982980408,2098.78438551356,10106,44.8672483302362,1.02651091924835,1237.33781276452,1323.91810436635,-8.9009156956969,-7.52483404097614,8.31012588120854,14.0705552844927,0
"52",52,6,"2016-6",10726704.2503477,8293,18527487,7849,6360,1691,1353,190,6508,2016,10.7,0.42,0.35,6.25,0,2,0.7,0.92,0,0,0,50.5,1332.3443361505,2301.26530865731,8051,41.9603783259696,1.02573576251752,1337.80209160586,1422.63982100102,-7.67252905819983,-15.8905194106985,5.31845878344013,NA,0
"53",53,6,"2016-6",6378967.75029377,4664,11045238,4430,3696,850,871,94,3581,2016,10.7,0.42,0.35,6.25,0,2,0.7,0.92,0,0,0,50.5,1403.20452052217,2429.66080070392,4546,41.9769557337217,1.02618510158014,1394.85272768106,1488.32658662944,-5.04988284568059,-12.3349581751405,NA,NA,0
